career_goal,course_id,match_score
Software Developer,C01,5
Software Developer,C02,5
Software Developer,C03,5
Software Developer,C04,4
Software Developer,C05,4
Software Developer,C06,5
AI Engineer,C01,4
AI Engineer,C03,4
AI Engineer,C07,5
AI Engineer,C08,5
AI Engineer,C09,5
AI Engineer,C15,5
AI Engineer,C19,4
Data Scientist,C01,4
Data Scientist,C07,5
Data Scientist,C08,5
Data Scientist,C10,5
Data Scientist,C18,5
Data Scientist,C19,4
Cloud Engineer,C12,5
Cloud Engineer,C11,5
Cloud Engineer,C14,5
Cloud Engineer,C06,3
Security Engineer,C12,5
Security Engineer,C13,5
Security Engineer,C14,4
Security Engineer,C06,3
Mobile Developer,C01,4
Mobile Developer,C16,5
Mobile Developer,C03,4
UI/UX Designer,C17,5
UI/UX Designer,C05,3
Project Manager,C20,5
Project Manager,C06,4
Data Analyst,C07,5
Data Analyst,C10,5
Data Analyst,C04,4
Data Analyst,C18,3
