course_id,learning_outcome,skills
C01,Write Python programs and apply basic programming concepts,"Python programming"
C02,Develop advanced Python applications using OOP and APIs,"Advanced Python, OOP, APIs"
C03,Implement data structures and algorithms,"DSA, Algorithms"
C04,Design relational databases and write SQL queries,"SQL, Database Design"
C05,Build responsive web applications,"Web Development"
C06,Apply software development lifecycle practices,"Software Engineering"
C07,Apply statistical methods to analyse data,"Statistics, Data Analysis"
C08,Build and evaluate machine learning models,"Machine Learning, Python"
C09,Build neural-network based solutions,"Deep Learning, AI"
C10,Clean, analyse and visualize datasets,"Data Analytics, Visualization"
C11,Explain cloud services and deployment,"Cloud Computing"
C12,Explain network protocols and architecture,"Computer Networks"
C13,Identify threats and apply cybersecurity principles,"Cybersecurity"
C14,Automate deployment and infrastructure workflows,"DevOps, Automation"
C15,Apply artificial intelligence techniques,"Artificial Intelligence"
C16,Develop applications for mobile platforms,"Mobile Development"
C17,Create user-focused interfaces and prototypes,"UI/UX"
C18,Process and analyse large-scale datasets,"Big Data"
C19,Apply NLP techniques to text data,"NLP, Machine Learning"
C20,Plan projects, manage risks and communicate progress,"Project Management"
