course_id,course_name,difficulty,credits
C01,Python Programming,Easy,3
C02,Advanced Python,Medium,3
C03,Data Structures,Medium,4
C04,Database Management,Medium,3
C05,Web Development,Medium,3
C06,Software Engineering,Medium,3
C07,Statistics,Easy,3
C08,Machine Learning,Hard,4
C09,Deep Learning,Hard,4
C10,Data Analytics,Medium,3
C11,Cloud Computing,Medium,3
C12,Computer Networks,Medium,3
C13,Cyber Security,Hard,3
C14,DevOps,Hard,3
C15,Artificial Intelligence,Hard,4
C16,Mobile App Development,Medium,3
C17,UI/UX Design,Easy,3
C18,Big Data,Hard,4
C19,Natural Language Processing,Hard,4
C20,Project Management,Easy,2
