course_id,day,start_time,end_time
C01,Monday,09:00,10:00
C02,Monday,10:00,11:00
C03,Tuesday,09:00,10:00
C04,Tuesday,10:00,11:00
C05,Wednesday,09:00,10:00
C06,Wednesday,10:00,11:00
C07,Thursday,09:00,10:00
C08,Thursday,10:00,11:00
C09,Friday,09:00,10:00
C10,Friday,10:00,11:00
C11,Monday,10:00,11:00
C12,Monday,09:00,10:00
C13,Tuesday,10:00,11:00
C14,Wednesday,10:00,11:00
C15,Thursday,10:00,11:00
C16,Wednesday,11:00,12:00
C17,Thursday,11:00,12:00
C18,Friday,10:00,11:00
C19,Friday,11:00,12:00
C20,Tuesday,11:00,12:00
