student_id,career_goal,completed_courses,skills
S001,Software Developer,"C01,C03,C04","Java,SQL"
S002,AI Engineer,"C01,C07","Python,Mathematics"
S003,Data Scientist,"C01,C07,C10","Python,Statistics"
S004,Cloud Engineer,"C01,C12","Java,Networking"
S005,Security Engineer,"C01,C12,C06","Java,Networking"
S006,Mobile Developer,"C01,C03","Java"
S007,UI/UX Designer,"C17","Design"
S008,Project Manager,"C06","Communication"
S009,Software Developer,"C01","Java"
S010,AI Engineer,"C01","Python"
S011,Data Analyst,"C01,C07,C04","Python,SQL"
S012,Cloud Engineer,"C01","Java"
S013,Security Engineer,"C01,C12","Networking"
S014,Software Developer,"C01,C03","Java"
S015,Data Scientist,"C01,C07","Python"
S016,AI Engineer,"C01,C03,C07","Python,Statistics"
S017,Mobile Developer,"C01","Java"
S018,UI/UX Designer,"C17","Design"
S019,Cloud Engineer,"C12","Networking"
S020,Data Analyst,"C07","Statistics"
S021,Software Developer,"C01,C03,C04","Java,SQL"
S022,AI Engineer,"C01,C07","Python"
S023,Data Scientist,"C01,C07","Python"
S024,Security Engineer,"C12","Networking"
S025,Software Developer,"C01","Java"
S026,Cloud Engineer,"C01,C12","Java,Networking"
S027,Data Analyst,"C01,C07,C04","Python,SQL"
S028,AI Engineer,"C01,C03","Python"
S029,Mobile Developer,"C01,C03","Java"
S030,Project Manager,"C06","Communication"
